# Temp[K],freq^2[THz]
7.016673283,17.69720293
11.60182612,17.70418504
16.18697896,17.72342076
20.7721318,17.74359907
25.35728464,17.77603098
2.9674474,17.79812437
29.94243748,17.81506098
34.52759031,17.8720001
39.11274315,17.93082439
43.69789599,17.99718937
48.45672886,18.06287317
4.550416832,18.09523858
52.86820167,18.16149591
52.5034736,18.18090619
57.45335451,18.26792075
62.03850734,18.37670206
66.62366018,18.48736853
71.20881302,18.61311636
37.50099246,18.63612009
39.9464073,18.66328284
75.79396586,18.74263454
76.38944025,18.90120478
80.3791187,18.92446618
89.54942437,19.21319396
94.13457721,19.37381745
98.71973005,19.54857971
78.46169115,19.67224687
102.3461691,19.68834832
80.79595077,19.70354768
103.4438269,19.83677801
107.4732037,19.87827503
112.0583565,20.05397987
100.8038904,20.19253988
116.6435093,20.23251247
100.8038904,20.41235072
121.2286622,20.41952834
125.813815,20.59711835
101.6931322,20.61080794
104.138547,20.63866191
130.488289,20.78940895
134.9841207,20.96643715
139.9583168,21.10150039
144.1544264,21.33481337
148.9132592,21.48743943
152.9079,21.68241781
157.4930528,21.84586905
139.7360064,21.89622404
142.070266,21.92752485
162.0782056,22.02440165
166.6633585,22.19256581
150.5855498,22.35235643
171.2485113,22.36261515
154.0541882,22.46912726
175.8336642,22.53266448
153.376836,22.54539374
180.418817,22.71591001
185.0039698,22.89312299
189.5891227,23.03376366
194.1544264,23.09413932
180.210401,23.33564225
177.5009925,23.34154214
198.7594283,23.38196856
203.0560051,23.52721824
207.929734,23.71829689
212.5148869,23.88551847
201.2604208,23.89514069
203.7614133,23.93379977
217.1000397,24.05085488
221.6851925,24.21336353
226.2703454,24.37964252
230.8554982,24.53838083
235.4753871,24.69983199
240.0258039,24.85811966
245.0277888,25.04950633
249.6129416,25.19033553
255.8654228,25.37881065
251.5303692,25.39076403
260.4505756,25.51832023
265.0357285,25.66574752
269.6208813,25.81223223
274.2060341,25.95117625
278.791187,26.09389062
283.2512902,26.24328687
287.9614927,26.37177867
292.5466455,26.48810065
297.0067487,26.61355524
301.4390631,26.69518427