Name,Smiles,Density[g/cm3],Mw[g/mol], polymerization
methanol,CO,0.792,32.04,
ethanol,OCC,0.789,46.068,
1-Propanol,OCCC,0.803,60.1,
2-Propanol,OC(C)C,0.786,60.1,
1-butanol,OCCCC,0.81,74.12,
D-glucose,C(C1C(C(C(C(O1)O)O)O)O)O,1.54,180.16,
propylene glycol,CC(CO)O,1.04,76.09,
n-Hexane,CCCCCC,0.6606,86.18,
cyclohexane,C1CCCCC1,0.779,84.16,
"1,4-DIOXANE",O(CCOC1)C1,1.03,88.11,
2-Methylpentane,CCCC(C)C,0.653,86.18,
Benzene,C1=CC=CC=C1,0.8756,78.11,
Toluene,CC1=CC=CC=C1,0.867,92.14,
Acetone,CC(=O)C,0.7845,58.08,
Acetonitrile,CC#N,0.787,41.05,
Aniline,C1=CC=C(C=C1)N,1.0217,93.13,
Ethanolamine,C(CO)N,1.016,61.08,
POLYSTYRENE1,[H]CC([H])C1=CC=CC=C1,n.d.,106.17,1
POLYSTYRENE2,[H]CC(CC(C1=CC=CC=C1)[H])C2=CC=CC=C2,n.d.,210.32,2
POLYSTYRENE3,[H]CC(CC(CC(C1=CC=CC=C1)[H])C2=CC=CC=C2)C3=CC=CC=C3,n.d.,314.47,3
POLYSTYRENE_1k,[H]CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(C1=CC=CC=C1)[H])C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9)C%10=CC=CC=C%10,n.d.,1043.54,10
POLYSTYRENE_2k,[H]CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(CC(C1=CC=CC=C1)[H])C2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4)C5=CC=CC=C5)C6=CC=CC=C6)C7=CC=CC=C7)C8=CC=CC=C8)C9=CC=CC=C9)C%10=CC=CC=C%10)C%11=CC=CC=C%11)C%12=CC=CC=C%12)C%13=CC=CC=C%13)C%14=CC=CC=C%14)C%15=CC=CC=C%15)C%16=CC=CC=C%16)C%17=CC=CC=C%17)C%18=CC=CC=C%18)C%19=CC=CC=C%19)C%20=CC=CC=C%20,n.d.,2085.06,20
POLYMETHYLMETHACRYLATE1,[H]CC([H])(C)C(OC)=O,n.d.,102.13,1
POLYMETHYLMETHACRYLATE2,[H]CC(C)(CC(C(OC)=O)(C)[H])C(OC)=O,n.d.,202.25,2
POLYMETHYLMETHACRYLATE3,[H]CC(C)(CC(C)(CC(C(OC)=O)(C)[H])C(OC)=O)C(OC)=O,n.d.,302.37,3
POLYMETHYLMETHACRYLATE_1k,[H]CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C(OC)=O)(C)[H])C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O,n.d.,1003.19,10
POLYMETHYLMETHACRYLATE_2k,[H]CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C)(CC(C(OC)=O)(C)[H])C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O)C(OC)=O,n.d.,2004.36,20
polycarbonate1,CC(C1=CC=C(O[H])C=C1)(C2=CC=C(OC([H])=O)C=C2)C,n.d.,256.3,1
polycarbonate2,CC(C1=CC=C(O[H])C=C1)(C2=CC=C(OC(OC(C=C3)=CC=C3C(C)(C4=CC=C(OC([H])=O)C=C4)C)=O)C=C2)C,n.d.,510.59,2
polycarbonate3,CC(C1=CC=C(O[H])C=C1)(C2=CC=C(OC(OC(C=C3)=CC=C3C(C)(C4=CC=C(OC(OC(C=C5)=CC=C5C(C)(C6=CC=C(OC([H])=O)C=C6)C)=O)C=C4)C)=O)C=C2)C,n.d.,764.87,3
polycarbonate_1k,CC(C1=CC=C(O[H])C=C1)(C2=CC=C(OC(OC(C=C3)=CC=C3C(C)(C4=CC=C(OC(OC(C=C5)=CC=C5C(C)(C6=CC=C(OC(OC(C=C7)=CC=C7C(C)(C8=CC=C(OC([H])=O)C=C8)C)=O)C=C6)C)=O)C=C4)C)=O)C=C2)C,n.d.,1019.16,4
polycarbonate_2k,CC(C1=CC=C(O[H])C=C1)(C2=CC=C(OC(OC(C=C3)=CC=C3C(C)(C4=CC=C(OC(OC(C=C5)=CC=C5C(C)(C6=CC=C(OC(OC(C=C7)=CC=C7C(C)(C8=CC=C(OC(OC(C=C9)=CC=C9C(C)(C%10=CC=C(OC(OC(C=C%11)=CC=C%11C(C)(C%12=CC=C(OC(OC(C=C%13)=CC=C%13C(C)(C%14=CC=C(OC(OC(C=C%15)=CC=C%15C(C)(C%16=CC=C(OC([H])=O)C=C%16)C)=O)C=C%14)C)=O)C=C%12)C)=O)C=C%10)C)=O)C=C8)C)=O)C=C6)C)=O)C=C4)C)=O)C=C2)C,n.d.,2036.3,8
PPG725,CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)O[H],1.007,714.97,12
PPG2000,CC(O[H])COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(COC(CO[H])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,n.d.,1992.73,34
